# Jones et al. 2006, MNRAS 369, 1: 6dFGS galaxy luminosity functions
# Column    Description
# 1         r_F - 5 log  h
# 2-4       log Phi_[vmax] (h^3 Mpc^-3), error+, error-
# 5-7       log Phi_[swml] (h^3 Mpc^-3), error+, error-
# 8         b_J - 5 log h
# 9-11      log Phi_[vmax] (h^3 Mpc^-3), error+, error-
# 12-14     log Phi_[swml] (h^3 Mpc^-3), error+, error- 
-23.875 -6.531 +0.119 -0.165 -6.182 +0.128 -0.182 -23.375 -7.079 +0.198 -0.374 -6.809 +0.196 -0.365
-23.625 -5.968 +0.076 -0.093 -5.722 +0.082 -0.102 -23.125 -6.418 +0.125 -0.176 -6.492 +0.155 -0.244
-23.375 -5.701 +0.061 -0.071 -5.415 +0.062 -0.072 -22.875 -6.542 +0.139 -0.206 -6.058 +0.114 -0.154
-23.125 -5.153 +0.040 -0.044 -5.012 +0.043 -0.047 -22.625 -5.926 +0.090 -0.113 -5.720 +0.085 -0.106
-22.875 -4.678 +0.027 -0.029 -4.591 +0.029 -0.032 -22.375 -5.645 +0.073 -0.088 -5.379 +0.063 -0.074
-22.625 -4.292 +0.020 -0.021 -4.237 +0.022 -0.023 -22.125 -5.121 +0.046 -0.051 -5.021 +0.046 -0.051
-22.375 -3.898 +0.015 -0.015 -3.879 +0.016 -0.017 -21.875 -4.739 +0.034 -0.037 -4.624 +0.032 -0.035
-22.125 -3.536 +0.011 -0.012 -3.522 +0.013 -0.013 -21.625 -4.245 +0.022 -0.024 -4.198 +0.022 -0.024
-21.875 -3.210 +0.009 -0.009 -3.211 +0.010 -0.010 -21.375 -3.856 +0.016 -0.017 -3.805 +0.016 -0.017
-21.625 -2.944 +0.008 -0.008 -2.960 +0.009 -0.009 -21.125 -3.472 +0.012 -0.012 -5 +0.013 -0.013
-21.375 -2.718 +0.007 -0.007 -2.732 +0.008 -0.008 -20.875 -3.144 +0.009 -0.010 -3.140 +0.010 -0.011 
-21.125 -2.552 +0.007 -0.007 -2.574 +0.008 -0.008 -20.625 -2.884 +0.008 -0.008 -2.889 +0.009 -0.009
-20.875 -2.425 +0.007 -0.007 -2.435 +0.008 -0.008 -20.375 -2.667 +0.007 -0.007 -2.684 +0.008 -0.008
-20.625 -2.333 +0.007 -0.007 -2.338 +0.008 -0.008 -20.125 -2.506 +0.007 -0.007 -2.527 +0.008 -0.008
-20.375 -2.280 +0.008 -0.008 -2.246 +0.009 -0.009 -19.875 -2.391 +0.007 -0.007 -2.400 +0.008 -0.008
-20.125 -2.216 +0.009 -0.009 -2.198 +0.009 -0.010 -19.625 -2.281 +0.007 -0.007 -2.283 +0.008 -0.008
-19.875 -2.140 +0.009 -0.010 -2.131 +0.010 -0.010 -19.375 -2.229 +0.008 -0.008 -2.190 +0.009 -0.009
-19.625 -2.120 +0.011 -0.011 -2.119 +0.011 -0.012 -19.125 -2.148 +0.009 -0.009 -2.139 +0.009 -0.010
