11.487139   0.2500    9.447158    0.143907    0.243038 
8.881955    0.2500    6.414973    0.076388    0.092754 
11.283301   0.2500    8.230449    0.149762    0.230449 
10.812244   0.2500    7.602060    0.041393    0.045757 
10.762678   0.2500    8.770852    0.042061    0.038458 
11.599883   0.2500    8.707570    0.048305    0.064117 
11.599883   0.2500    9.113943    0.141330    0.335792 
12.000000   0.2500    9.672098    0.060295    0.048849 
10.298853   0.2500    7.146128    0.029963    0.146128 
11.195900   0.2500    8.949390    0.196737    0.156999 
10.845098   0.2500    8.322219    0.092754    0.146128 
10.371068   0.2500    8.255273    0.176091    0.301030 
10.836324   0.2500    8.623249    0.092754    0.131887 
10.278753   0.2500    7.041393    0.162727    0.263242 
11.204120   0.2500    8.518514    0.162727    0.087150 
10.884229   0.2500    8.672098    0.083776    0.103896 
12.190331   0.2500    9.986772    0.117032    0.129439 
10.448707   0.2500    8.255273    0.124938    0.079182 
11.916980   0.2500    8.724276    0.081904    0.101027 
10.998260   0.2500    8.991226    0.119364    0.165152 
10.255273   0.2500    8.662758    0.194574    0.171396 
11.558708   0.2500    8.963788    0.044812    0.039509 
11.953277   0.2500    9.397940    0.093422    0.017729 
11.206826   0.2500    7.949390    0.177715    0.296177 
12.117271   0.2500    9.792392    0.020521    0.028964 
10.668386   0.2500    7.944483    0.104735    0.138303 
11.887617   0.2500    9.672098    0.001015    0.000925 
11.110590   0.2500    8.301030    0.041392    0.045757 
12.243038   0.2500    10.32221    0.245983    0.544067 
11.563481   0.2500    8.903090    0.210854    0.230991 
10.981365   0.2500    8.230449    0.070581    0.116506 
10.526340   0.2500    8.690196    0.115984    0.171682 
12.155336   0.2500    9.579783    0.160580    0.164810 
11.748188   0.2500    8.778152    0.124938    0.176091 
11.544068   0.2500    8.602060    0.230449    0.221849 
12.064458   0.2500    9.113943    0.141330    0.159700 
